timestamp,src_ip,dst_ip,src_mac,dst_mac,protocol,length,info,command,label
1755982146.3561296,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,66,RadioTap / 802.11 Data QoS Null (no data) 38:fc:98:e9:e3:50 (TA=SA) > a0:14:3d:ed:92:14 (RA=BSSID) / Dot11QoS,,normal
1755982146.359364,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.359382,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.434934,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,122,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.4350293,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.457195,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",,normal
1755982146.457292,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,144,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.4572976,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.476399,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,115,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.476489,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.499805,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.4999297,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.520521,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,143,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.5206585,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.5408657,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.5409546,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.559689,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",,normal
1755982146.642398,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,66,RadioTap / 802.11 Data QoS Null (no data) 38:fc:98:e9:e3:50 (TA=SA) > a0:14:3d:ed:92:14 (RA=BSSID) / Dot11QoS,,normal
1755982146.6647522,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",,normal
1755982146.7673347,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,66,RadioTap / 802.11 Data QoS Null (no data) 38:fc:98:e9:e3:50 (TA=SA) > a0:14:3d:ed:92:14 (RA=BSSID) / Dot11QoS,,normal
1755982146.767897,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.7678993,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.7692735,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,143,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.7692888,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.769293,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.7692976,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.827027,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755982146.827055,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755982146.867299,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",,normal
1755982146.9273198,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,66,RadioTap / 802.11 Data QoS Null (no data) 38:fc:98:e9:e3:50 (TA=SA) > a0:14:3d:ed:92:14 (RA=BSSID) / Dot11QoS,,normal
1755982146.9696612,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",,normal
1755982146.9710157,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,66,RadioTap / 802.11 Data QoS Null (no data) 38:fc:98:e9:e3:50 (TA=SA) > a0:14:3d:ed:92:14 (RA=BSSID) / Dot11QoS,,normal
1755982146.9722087,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
